iter	RMSE
0	71996.95255
1	67181.37464
2	63074.28764
3	59380.36709
4	55992.65514
5	53030.60597
6	50403.75299
7	48104.25898
8	46182.37476
9	44244.50399
10	42509.36128
11	41264.24308
12	40193.32793
13	39074.76911
14	37950.23223
15	36987.91442
16	36172.23178
17	35320.73664
18	34708.79039
19	33909.37952
20	33263.64
21	32808.55246
22	32360.61075
23	31839.96315
24	31365.08292
25	31026.17548
26	30777.40071
27	30386.64188
28	29969.52935
29	29636.92727
30	29357.61701
31	29013.54113
32	28756.87676
33	28568.60868
34	28329.69333
35	28140.44371
36	28009.66877
37	27842.31442
38	27610.47044
39	27412.2176
40	27263.44389
41	27065.75588
42	26929.40921
43	26787.14645
44	26629.68275
45	26492.30004
46	26419.958
47	26321.63223
48	26229.18692
49	26108.07703
50	26018.22022
51	25879.41
52	25775.57192
53	25697.0265
54	25652.91596
55	25561.24933
56	25484.37128
57	25408.38843
58	25287.91741
59	25236.0561
60	25142.7564
61	25077.92741
62	25034.76377
63	24945.97511
64	24885.17405
65	24818.56975
66	24777.56732
67	24709.49407
68	24630.81815
69	24610.60826
70	24549.99597
71	24504.00129
72	24466.06991
73	24394.85275
74	24342.75351
75	24321.58251
76	24237.99736
77	24172.16454
78	24126.10937
79	24093.36464
80	24050.59616
81	23982.19861
82	23954.03978
83	23910.17129
84	23826.97901
85	23802.1468
86	23663.91487
87	23619.20155
88	23569.48764
89	23530.05225
90	23500.88547
91	23395.95723
92	23323.36573
93	23301.31462
94	23283.3045
95	23222.51453
96	23180.20564
97	23100.72538
98	23033.01749
99	22969.40963
100	22953.83022
101	22940.15129
102	22919.3516
103	22831.13193
104	22817.16971
105	22792.56322
106	22764.96389
107	22751.17822
108	22726.96457
109	22690.6348
110	22639.14303
111	22606.23369
112	22565.69338
113	22548.48183
114	22526.0704
115	22435.91156
116	22370.49978
117	22353.81391
118	22334.77772
119	22324.83777
120	22257.31448
121	22195.68661
122	22178.57934
123	22137.00828
124	22093.92263
125	22055.53464
126	22008.87044
127	21992.25821
128	21925.40736
129	21891.87102
130	21837.65122
131	21829.96764
132	21788.49351
133	21735.71853
134	21683.51258
135	21669.96233
136	21655.72241
137	21641.76628
138	21591.33411
139	21550.64819
140	21531.76803
141	21506.05309
142	21498.1968
143	21453.0258
144	21423.65604
145	21376.05972
146	21340.441
147	21278.43479
148	21245.67939
149	21211.06498
150	21158.55683
151	21138.54381
152	21083.95475
153	21054.26692
154	21023.02749
155	20995.95812
156	20969.48284
157	20944.89284
158	20911.93746
159	20905.52625
160	20877.92526
161	20850.90819
162	20755.08254
163	20695.19689
164	20657.15764
165	20627.72324
166	20593.87006
167	20591.76248
168	20540.05537
169	20517.32042
170	20504.07488
171	20456.7872
172	20421.98484
173	20390.60654
174	20382.5539
175	20365.3038
176	20356.10555
177	20350.34393
178	20343.40796
179	20317.4657
180	20277.09962
181	20246.54562
182	20204.66915
183	20166.21229
184	20158.37155
185	20149.19894
186	20134.75156
187	20098.6477
188	20079.96557
189	20033.20841
190	19985.67891
191	19962.98757
192	19933.09279
193	19872.22493
194	19844.34197
195	19808.85593
196	19775.60545
197	19763.29212
198	19735.23446
199	19671.64052
200	19665.09909
201	19637.96313
202	19599.76905
203	19552.65932
204	19507.30313
205	19483.70759
206	19425.96813
207	19384.94037
208	19339.04593
209	19318.8041
210	19290.22878
211	19273.14906
212	19242.80131
213	19230.73524
214	19222.30277
215	19184.01218
216	19154.01118
217	19138.67362
218	19105.89801
219	19078.13627
220	19036.38043
221	19015.48131
222	18982.72084
223	18964.46854
224	18940.88306
225	18918.47116
226	18908.79405
227	18888.72101
228	18879.67068
229	18834.96777
230	18800.56694
231	18737.43984
232	18720.08415
233	18695.98481
234	18671.12976
235	18642.76004
236	18621.86394
237	18610.38494
238	18593.74482
239	18566.67706
240	18550.55339
241	18528.89691
242	18490.04265
243	18475.84239
244	18449.05664
245	18416.28535
246	18396.57384
247	18370.831
248	18338.08264
249	18329.23251
250	18314.02528
251	18304.35763
252	18281.35356
253	18272.80643
254	18238.78881
255	18219.26733
256	18214.77337
257	18181.01594
258	18169.50658
259	18153.25103
260	18134.99647
261	18129.51143
262	18083.30997
263	18066.68475
264	18012.35692
265	17980.66397
266	17975.75247
267	17942.22033
268	17903.14844
269	17902.34837
270	17861.87235
271	17850.44838
272	17833.87407
273	17809.01861
274	17780.51191
275	17752.48045
276	17717.1346
277	17715.34516
278	17691.26416
279	17667.4693
280	17642.41298
281	17626.32504
282	17585.40658
283	17564.0839
284	17522.5624
285	17490.43253
286	17482.75993
287	17468.98128
288	17437.02381
289	17424.32647
290	17407.50582
291	17398.71192
292	17383.24376
293	17352.86013
294	17320.78395
295	17272.53071
296	17241.60273
297	17218.12143
298	17195.77632
299	17176.23366
300	17144.00426
301	17119.18097
302	17097.75048
303	17083.74893
304	17056.39265
305	17023.6498
306	17002.52918
307	16983.77067
308	16982.7192
309	16973.16789
310	16950.95318
311	16927.95111
312	16888.50798
313	16868.01904
314	16858.14352
315	16832.42374
316	16808.48694
317	16807.73424
318	16788.80119
319	16786.95447
320	16772.67548
321	16747.04321
322	16724.59535
323	16708.79362
324	16690.71938
325	16682.26529
326	16670.74404
327	16633.21809
328	16621.55719
329	16592.98213
330	16585.37886
331	16574.61602
332	16566.5383
333	16548.27614
334	16510.63872
335	16482.51271
336	16470.1967
337	16460.11441
338	16449.02681
339	16440.25107
340	16397.81232
341	16389.65262
342	16377.20626
343	16354.59554
344	16326.52776
345	16287.38126
346	16266.13897
347	16235.51393
348	16219.29961
349	16216.87208
350	16204.60979
351	16189.22862
352	16159.82465
353	16145.63555
354	16132.12487
355	16113.91977
356	16074.60677
357	16059.74756
358	16045.73658
359	16037.14575
360	16015.53141
361	15994.19843
362	15982.92832
363	15964.4324
364	15963.97293
365	15961.68002
366	15949.91016
367	15941.40272
368	15930.79143
369	15916.64652
370	15911.03589
371	15892.25824
372	15879.05571
373	15851.14046
374	15850.6702
375	15825.0822
376	15799.97372
377	15789.48569
378	15771.29372
379	15760.88194
380	15737.67331
381	15719.47525
382	15701.85039
383	15684.02174
384	15677.62969
385	15670.22074
386	15658.02609
387	15628.91489
388	15604.85962
389	15591.24561
390	15560.53534
391	15534.14341
392	15516.05231
393	15505.84396
394	15489.03077
395	15483.76568
396	15469.2079
397	15441.73459
398	15415.17938
399	15396.00669
400	15387.67765
401	15372.96541
402	15367.11337
403	15359.69331
404	15332.47216
405	15318.71016
406	15295.82438
407	15278.52837
408	15269.00424
409	15254.04478
410	15227.79557
411	15215.85966
412	15202.26815
413	15196.25267
414	15180.1592
415	15164.96128
416	15153.80364
417	15129.79311
418	15120.61388
419	15110.44058
420	15104.22618
421	15083.16809
422	15057.42796
423	15035.28502
424	15022.93475
425	15009.11033
426	14995.22705
427	14983.10807
428	14973.08662
429	14945.75513
430	14930.54335
431	14919.66965
432	14910.19588
433	14894.40882
434	14873.9733
435	14866.57561
436	14851.73938
437	14846.0828
438	14844.48326
439	14828.3463
440	14827.97513
441	14815.32837
442	14804.96902
443	14772.42905
444	14763.60431
445	14752.50014
446	14746.3631
447	14714.16089
448	14698.70857
449	14666.2459
450	14648.3871
451	14629.84405
452	14615.9594
453	14604.29827
454	14601.31539
455	14590.86125
456	14581.89157
457	14575.29505
458	14561.03518
459	14535.76168
460	14526.11987
461	14500.26526
462	14490.21452
463	14484.00808
464	14478.1244
465	14470.38747
466	14457.16622
467	14427.20192
468	14407.14258
469	14379.87546
470	14349.76942
471	14339.96177
472	14312.56993
473	14299.70863
474	14293.21692
475	14266.10228
476	14249.00919
477	14238.09709
478	14234.15646
479	14223.72895
480	14214.76667
481	14196.40733
482	14181.84647
483	14160.79701
484	14149.93935
485	14131.54216
486	14118.12975
487	14086.36386
488	14074.33497
489	14063.10993
490	14045.02219
491	14033.80009
492	14023.69401
493	14022.31019
494	14019.37708
