iter	Passed	Remaining
0	53	53624
1	55	27446
2	55	18581
3	56	14172
4	57	11495
5	58	9711
6	59	8444
7	60	7500
8	61	6755
9	62	6157
10	63	5670
11	64	5269
12	64	4918
13	65	4622
14	66	4368
15	67	4145
16	68	3953
17	69	3774
18	70	3616
19	70	3470
20	71	3343
21	72	3229
22	73	3125
23	74	3028
24	75	2935
25	76	2852
26	77	2775
27	77	2705
28	78	2637
29	79	2575
30	80	2516
31	81	2462
32	82	2409
33	83	2361
34	83	2315
35	84	2271
36	85	2232
37	86	2192
38	87	2157
39	88	2123
40	89	2087
41	90	2055
42	90	2024
43	91	1994
44	92	1967
45	93	1941
46	94	1916
47	95	1891
48	96	1867
49	97	1846
50	98	1826
51	99	1805
52	99	1786
53	100	1768
54	101	1748
55	102	1734
56	103	1718
57	104	1700
58	105	1683
59	106	1667
60	107	1650
61	108	1634
62	108	1618
63	109	1602
64	110	1586
65	111	1572
66	112	1559
67	112	1545
68	113	1532
69	114	1520
70	115	1507
71	116	1495
72	116	1483
73	117	1471
74	118	1460
75	118	1445
76	119	1435
77	120	1425
78	121	1415
79	122	1405
80	122	1394
81	123	1384
82	124	1375
83	125	1365
84	126	1356
85	126	1347
86	127	1339
87	128	1330
88	129	1322
89	130	1315
90	130	1307
91	131	1299
92	132	1291
93	133	1283
94	133	1275
95	134	1268
96	135	1262
97	136	1254
98	137	1248
99	137	1241
100	138	1234
101	139	1227
102	140	1220
103	140	1214
104	141	1207
105	142	1201
106	143	1195
107	144	1189
108	144	1184
109	145	1178
110	146	1173
111	147	1167
112	148	1162
113	148	1156
114	149	1151
115	150	1146
116	151	1140
117	151	1135
118	152	1130
119	153	1126
120	154	1122
121	155	1117
122	156	1112
123	156	1107
124	157	1102
125	158	1099
126	159	1095
127	160	1091
128	161	1088
129	162	1085
130	162	1080
131	163	1077
132	164	1073
133	165	1069
134	166	1065
135	166	1060
136	167	1056
137	168	1053
138	169	1048
139	170	1044
140	170	1041
141	171	1037
142	172	1033
143	173	1029
144	174	1026
145	174	1022
146	175	1019
147	176	1016
148	177	1012
149	178	1008
150	178	1005
151	179	1002
152	180	998
153	181	995
154	182	992
155	182	989
156	183	986
157	184	983
158	185	979
159	186	977
160	187	975
161	188	973
162	188	970
163	189	967
164	190	964
165	191	962
166	192	959
167	193	956
168	193	953
169	194	951
170	195	949
171	196	946
172	197	944
173	198	942
174	199	939
175	200	937
176	201	935
177	201	932
178	202	930
179	203	928
180	204	926
181	205	924
182	206	922
183	207	920
184	208	917
185	208	914
186	209	911
187	210	909
188	211	907
189	212	905
190	213	902
191	213	900
192	214	897
193	215	895
194	216	892
195	217	890
196	217	887
197	218	885
198	219	883
199	220	880
200	220	878
201	221	875
202	222	873
203	223	871
204	224	868
205	224	866
206	225	863
207	226	861
208	227	859
209	228	857
210	228	855
211	230	855
212	231	854
213	232	852
